class,superclass,prior probability,treatments
malady,root,1,
emergency,malady,0.3,Call 911 immediately.
cardiac arrest,emergency,0.5,Person needs to be treated with a defibrillator right away
poisoning,malady,0.5,Call the American Association of Poison Control Centers: 1 (800) 222-1222
botanical poisoning,poisoning,0.5,"Wash the skin thoroughly with soap and warm water. Because the plant oil enters skin quickly, try to wash it off within 30 minutes. Scrub under the fingernails with a brush to prevent the plant oil from spreading to other parts of the body. Wash clothing and shoes with soap and hot water. The plant oils can linger on them. Immediately bathe animals to remove the oils from their fur. Body heat and sweating can aggravate the itching. Stay cool and apply cool compresses to your skin. Calamine lotion and hydrocortisone cream can be applied to the skin to reduce itching and blistering. Bathing in lukewarm water with an oatmeal bath product, available in drugstores, may soothe itchy skin. Aluminum acetate (Domeboro solution) soaks can help to dry the rash and reduce itching. If creams, lotions, or bathing do not stop the itching, antihistamines may be helpful. In severe cases, especially for a rash around the face or genitals, the health care provider may prescribe steroids, taken by mouth or given by injection. Wash tools and other objects with a dilute bleach solution or rubbing alcohol."
hemlock poisoning,botanical poisoning,0.5,
wild cherry poisoning,botanical poisoning,0.2,
wild cherry poisoning,emergency,0.2,
moonseed poisoning,emergency,0.3,
moonseed poisoning,botanical poisoning,0.3,
mistle toe poisoning,botanical poisoning,0.4,
mistle toe poisoning,emergency,0.4,
mushroom poisoning,botanical poisoning,0.3,
mushroom poisoning,emergency,0.3,
chemical poisoning,poisoning,0.5,"Continuously monitor the vital signs and body's systems of the patient. For anything out of the ordinary, call a doctor"
drug poisoning,poisoning,0.2,
carbon monoxide poisoning,chemical poisoning,0.2,"Get the person to fresh air (away from the carbon monoxide area), then call 911. If the person is not breathing normally, perform CPR."
carbon monoxide poisoning,emergency,0.2,
salmonella poisoning,poisoning,0.4,"Most people recover without treatment. If diarrhea and dehydration become severe, then go to the hospital."
virus,malady,0.5,"Recovery without treatment is possible. However, if any symptoms become severe and highly uncomfortable, seek out antibiotics from a doctor"
bone injury,malady,0.5,
sprain,bone injury,0.5,"Use the RICE approach: R: Rest— take stress off the injury, I: Ice—snow or a cold stream are great field alternatives that help reduce swelling and inflammation, C: Compression— to reduce swelling, E: Elevation—place injured limb above the heart to reduce swelling"
sprained ankle,sprain,0.6,
sprained finger,sprain,0.5,
sprained wrist,sprain,0.5,
sprained arm,sprain,0.5,
sprained knee,sprain,0.5,
bone fracture,bone injury,0.5,Limit all movement of the injured area until a doctor can accurately determine if a cast or surgery is necessary.
localized injury,malady,0.5
broken leg,bone fracture,0.5,
broken ankle,bone fracture,0.5,
broken finger,bone fracture,0.5,
broken arm,bone fracture,0.5,
broken wrist,bone fracture,0.5,
broken skull,bone fracture,0.5,
broken collarbone,bone fracture,0.5,
broken foot,bone fracture,0.5,
broken hip,bone fracture,0.3,
broken pelvis,bone fracture,0.3,
stress fracture,bone fracture,0.5,
broken fibula,broken leg,0.5,
broken tibia,broken leg,0.5,
broken femur,broken leg,0.5,
broken ulna,broken arm,0.5,
broken radius,broken arm,0.5,
broken humerus,broken arm,0.5,
ankle injury,localized injury,0.7,
broken ankle,ankle injury,0.7,
sprained ankle,ankle injury,0.7,
arm injury,localized injury,0.7,
broken arm,arm injury,0.5,
sprained arm,arm injury,0.5,
finger injury,localized injury,0.7,
broken finger,finger injury,0.5,
sprained finger,finger injury,0.5,
leg injury,localized injury,0.7,
broken leg,leg injury,0.5,
wrist injury,localized injury,0.7,
broken wrist,wrist injury,0.7,
sprained wrist,wrist injury,0.7,
head injury,localized injury,0.7,
broken skull,head injury,0.5,
back injury,localized injury,0.7,
broken collarbone,back injury,0.5,
hip injury,localized injury,0.7,
broken hip,hip injury,0.5,
foot injury,localized injury,0.7,
broken foot,foot injury,0.5,
knee injury,localized injury,0.7,
broken knee,knee injury,0.5,
sprained knee,knee injury,0.7,
pelvis injury,localized injury,0.7,
broken pelvis,pelvis injury,0.5,
abdomen injury,localized injury,0.7,
shoulder injury,localized injury,0.7,
skin irritation,malady,0.8,Apply lotion to calm the irritated area.
